"organization_name","site_name","date","dow","fiscal week #","fiscal month","fiscal year","traffic","currency","comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","19/07/2021","Lun","30","Jul","2021","8136","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","20/07/2021","Mar","30","Jul","2021","8155","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","21/07/2021","Mie","30","Jul","2021","7998","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","22/07/2021","Jue","30","Jul","2021","7985","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","23/07/2021","Vie","30","Jul","2021","9266","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","24/07/2021","Sáb","30","Jul","2021","14853","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","25/07/2021","Dom","31","Jul","2021","13755","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","26/07/2021","Lun","31","Jul","2021","7612","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","27/07/2021","Mar","31","Jul","2021","8157","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","28/07/2021","Mie","31","Jul","2021","8475","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","29/07/2021","Jue","31","Jul","2021","8743","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","30/07/2021","Vie","31","Jul","2021","11158","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","31/07/2021","Sáb","31","Jul","2021","17062","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","01/08/2021","Dom","32","Aug","2021","15381","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","02/08/2021","Lun","32","Aug","2021","8145","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","03/08/2021","Mar","32","Aug","2021","7974","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","04/08/2021","Mie","32","Aug","2021","8289","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","05/08/2021","Jue","32","Aug","2021","8788","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","06/08/2021","Vie","32","Aug","2021","10679","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","07/08/2021","Sáb","32","Aug","2021","16058","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","08/08/2021","Dom","33","Aug","2021","14233","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","09/08/2021","Lun","33","Aug","2021","7808","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","10/08/2021","Mar","33","Aug","2021","8555","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","11/08/2021","Mie","33","Aug","2021","9175","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","12/08/2021","Jue","33","Aug","2021","8551","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","13/08/2021","Vie","33","Aug","2021","11448","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","14/08/2021","Sáb","33","Aug","2021","18035","NONE","Comp"
